	V350166995_163.27	V350166995_164_1	V350166995_166.87	V350166995_168.28	V350166995_169_4	V350166995_57_4	V350166995_72.48	V350166995_86.77	V350174473_26_1	V350174473_37.114	V350174473_42.57	V350174473_52.35	V350174473_66.56	V350174473_72.72_sub	V350181201_19_1	V350181201_30_2	V350181201_31.45	V350181201_44_2	V350181262_107.4	V350181262_108_1	V350181262_110_3	V350181262_117_2	V350181262_130_7	V350181262_134_29	V350181262_140_9	V350181262_142_6	V350181262_145_2	V350181262_149_1	V350181262_150_0	V350181262_158_8	V350181262_160_0	V350181262_98.46	V350181262_99.39	V350181321_113_0	V350181321_126_25	V350181321_132_0	V350181321_139_33	V350181323_162_0	V350181323_32_0	V350181323_34_8	V350181323_49_5	V350181323_51.95
V350174473_66.56	19370.0	70956.0	32687.0	35129.0	11857.0	11948.0	35510.0	35106.0	34776.0	71288.0	79147.0	72256.0	0.0	43335.0	35649.0	5502.0	35409.0	83949.0	83893.0	31509.0	33590.0	70281.0	48362.0	45639.0	32861.0	33404.0	35981.0	69152.0	34114.0	12278.0	75629.0	48452.0	3461.0	10226.0	29389.0	32507.0	33217.0	9030.0	12973.0	10730.0	49466.0	16011.0
V350174473_72.72_sub	46417.0	81413.0	45933.0	48723.0	45212.0	45111.0	47968.0	48395.0	47896.0	78396.0	86463.0	81171.0	43335.0	0.0	48789.0	44508.0	47729.0	94006.0	91650.0	45433.0	47538.0	78353.0	53598.0	38318.0	46834.0	47439.0	48736.0	76135.0	48981.0	42691.0	83916.0	53306.0	43572.0	43924.0	43167.0	46031.0	46680.0	41867.0	44997.0	41396.0	38901.0	45258.0
V350181201_19_1	34068.0	68164.0	13867.0	11498.0	35226.0	35210.0	11775.0	12074.0	16439.0	67924.0	75530.0	67997.0	35649.0	48789.0	0.0	37023.0	12939.0	80433.0	81849.0	13803.0	10562.0	68303.0	45036.0	48900.0	14353.0	11087.0	11564.0	65528.0	12060.0	32554.0	72232.0	44363.0	36157.0	36502.0	21083.0	22256.0	7475.0	34301.0	35976.0	32845.0	51207.0	38538.0
V350181201_30_2	20287.0	70056.0	31796.0	35533.0	13561.0	13791.0	35402.0	35494.0	34726.0	68352.0	76439.0	70837.0	5502.0	44508.0	37023.0	0.0	37162.0	83796.0	83597.0	31824.0	34157.0	67852.0	49479.0	46980.0	33618.0	34102.0	36301.0	66076.0	34508.0	14293.0	74153.0	48900.0	5778.0	12208.0	30931.0	33963.0	33911.0	10909.0	14445.0	12211.0	50922.0	16976.0
V350181201_31.45	35017.0	66994.0	17112.0	11279.0	35709.0	35471.0	10889.0	14606.0	19685.0	67425.0	73572.0	67937.0	35409.0	47729.0	12939.0	37162.0	0.0	78921.0	81124.0	17010.0	12404.0	66945.0	44253.0	47875.0	18046.0	13406.0	14196.0	66358.0	10602.0	33575.0	71028.0	44321.0	35599.0	36949.0	21290.0	24655.0	9763.0	33614.0	36826.0	33491.0	49774.0	38730.0
V350181201_44_2	82297.0	43605.0	84736.0	78391.0	85312.0	84661.0	77562.0	84586.0	84840.0	48863.0	40266.0	40835.0	83949.0	94006.0	80433.0	83796.0	78921.0	0.0	45384.0	84680.0	84817.0	48379.0	79888.0	93997.0	88265.0	84614.0	84328.0	48139.0	83415.0	84389.0	43729.0	80026.0	86538.0	88590.0	81029.0	86044.0	82377.0	85774.0	84290.0	84786.0	93895.0	82276.0
V350181262_107.4	86266.0	45659.0	88607.0	79358.0	84943.0	84153.0	79971.0	87062.0	89696.0	50760.0	46762.0	44498.0	83893.0	91650.0	81849.0	83597.0	81124.0	45384.0	0.0	86412.0	87878.0	49778.0	80059.0	92991.0	90830.0	86982.0	87676.0	51308.0	83261.0	84302.0	46163.0	80227.0	90171.0	89705.0	83184.0	89977.0	83773.0	87019.0	85004.0	85346.0	93837.0	86350.0
V350181262_108_1	32294.0	70338.0	7722.0	14724.0	29252.0	29310.0	15100.0	11955.0	13985.0	71605.0	79730.0	72214.0	31509.0	45433.0	13803.0	31824.0	17010.0	84680.0	86412.0	0.0	11905.0	70766.0	43367.0	45376.0	516.0	12016.0	13146.0	70749.0	14196.0	27984.0	76482.0	42936.0	33057.0	33564.0	17354.0	19770.0	10451.0	30440.0	33187.0	28435.0	47812.0	35097.0
V350181262_110_3	33327.0	71771.0	11537.0	10595.0	32826.0	32783.0	10611.0	7485.0	15153.0	73004.0	79704.0	72540.0	33590.0	47538.0	10562.0	34157.0	12404.0	84817.0	87878.0	11905.0	0.0	72139.0	44659.0	48287.0	13214.0	593.0	9156.0	71220.0	11290.0	30450.0	77157.0	44497.0	35650.0	35857.0	18876.0	21662.0	5565.0	32076.0	34412.0	30932.0	49804.0	37390.0
V350181262_117_2	69915.0	37258.0	72669.0	66396.0	70194.0	69908.0	65860.0	71426.0	72389.0	9422.0	40942.0	32657.0	70281.0	78353.0	68303.0	67852.0	66945.0	48379.0	49778.0	70766.0	72139.0	0.0	65325.0	80391.0	73064.0	71633.0	71370.0	635.0	68021.0	69469.0	35421.0	65330.0	71939.0	73954.0	67878.0	73283.0	69668.0	71533.0	69244.0	70770.0	79616.0	68305.0
V350181262_130_7	48786.0	67698.0	43649.0	45322.0	50056.0	50243.0	45232.0	45192.0	45112.0	64209.0	74168.0	67225.0	48362.0	53598.0	45036.0	49479.0	44253.0	79888.0	80059.0	43367.0	44659.0	65325.0	0.0	54745.0	45515.0	44657.0	45299.0	62940.0	45348.0	47432.0	70270.0	1597.0	48691.0	49222.0	41950.0	44396.0	43870.0	48084.0	49157.0	47519.0	56558.0	48984.0
V350181262_134_29	47571.0	82304.0	45783.0	48614.0	47415.0	47380.0	48266.0	49125.0	52225.0	79500.0	88186.0	86684.0	45639.0	38318.0	48900.0	46980.0	47875.0	93997.0	92991.0	45376.0	48287.0	80391.0	54745.0	0.0	46931.0	48250.0	48997.0	76488.0	49749.0	45697.0	84310.0	54218.0	45981.0	46148.0	43406.0	46299.0	46863.0	44446.0	47288.0	43689.0	41346.0	47797.0
V350181262_140_9	33912.0	72927.0	9732.0	15027.0	30212.0	30445.0	16012.0	12393.0	16182.0	74354.0	84373.0	75781.0	32861.0	46834.0	14353.0	33618.0	18046.0	88265.0	90830.0	516.0	13214.0	73064.0	45515.0	46931.0	0.0	13263.0	14924.0	74867.0	15095.0	28764.0	80583.0	44780.0	35422.0	34710.0	18183.0	21196.0	11028.0	31345.0	33972.0	29722.0	49657.0	37626.0
V350181262_142_6	33269.0	71440.0	11869.0	10576.0	32968.0	33080.0	10576.0	7484.0	14975.0	73031.0	79181.0	72462.0	33404.0	47439.0	11087.0	34102.0	13406.0	84614.0	86982.0	12016.0	593.0	71633.0	44657.0	48250.0	13263.0	0.0	9426.0	71358.0	11048.0	30263.0	76336.0	44518.0	35722.0	35932.0	19103.0	21316.0	5352.0	32039.0	34396.0	31137.0	49884.0	37714.0
V350181262_145_2	36709.0	70789.0	15488.0	13482.0	34736.0	34551.0	12029.0	11230.0	16964.0	72900.0	81272.0	74191.0	35981.0	48736.0	11564.0	36301.0	14196.0	84328.0	87676.0	13146.0	9156.0	71370.0	45299.0	48997.0	14924.0	9426.0	0.0	72457.0	12692.0	33626.0	78390.0	44879.0	38546.0	38889.0	20624.0	23465.0	8119.0	34446.0	38253.0	33579.0	51702.0	40287.0
V350181262_149_1	69288.0	35935.0	73210.0	64479.0	68755.0	68314.0	64556.0	70333.0	71417.0	8591.0	43090.0	32701.0	69152.0	76135.0	65528.0	66076.0	66358.0	48139.0	51308.0	70749.0	71220.0	635.0	62940.0	76488.0	74867.0	71358.0	72457.0	0.0	67168.0	68067.0	38512.0	63075.0	72132.0	72801.0	66873.0	73317.0	68140.0	70378.0	68098.0	68363.0	76449.0	67468.0
V350181262_150_0	33753.0	68917.0	14838.0	10204.0	33025.0	32919.0	10377.0	11103.0	17886.0	69033.0	76789.0	69164.0	34114.0	48981.0	12060.0	34508.0	10602.0	83415.0	83261.0	14196.0	11290.0	68021.0	45348.0	49749.0	15095.0	11048.0	12692.0	67168.0	0.0	30998.0	72672.0	44671.0	36146.0	36737.0	22046.0	24177.0	9597.0	32778.0	34261.0	32433.0	51246.0	37156.0
V350181262_158_8	20304.0	71230.0	29588.0	33351.0	13586.0	13675.0	32827.0	32100.0	31500.0	70649.0	78162.0	72174.0	12278.0	42691.0	32554.0	14293.0	33575.0	84389.0	84302.0	27984.0	30450.0	69469.0	47432.0	45697.0	28764.0	30263.0	33626.0	68067.0	30998.0	0.0	74767.0	46545.0	12710.0	11381.0	27962.0	29670.0	29961.0	4785.0	8835.0	7310.0	48250.0	16671.0
V350181262_160_0	76884.0	6781.0	78932.0	69658.0	75641.0	75159.0	68900.0	76664.0	79833.0	36926.0	38468.0	30127.0	75629.0	83916.0	72232.0	74153.0	71028.0	43729.0	46163.0	76482.0	77157.0	35421.0	70270.0	84310.0	80583.0	76336.0	78390.0	38512.0	72672.0	74767.0	0.0	71229.0	80932.0	80401.0	73645.0	80173.0	74441.0	77596.0	74731.0	77056.0	85408.0	76690.0
V350181262_98.46	48135.0	67782.0	43478.0	44922.0	49075.0	49175.0	44817.0	44855.0	44713.0	64162.0	73998.0	67039.0	48452.0	53306.0	44363.0	48900.0	44321.0	80026.0	80227.0	42936.0	44497.0	65330.0	1597.0	54218.0	44780.0	44518.0	44879.0	63075.0	44671.0	46545.0	71229.0	0.0	48464.0	48533.0	40860.0	43459.0	42870.0	47825.0	48719.0	46904.0	55346.0	49173.0
V350181262_99.39	20745.0	73424.0	36143.0	36459.0	11979.0	11975.0	35282.0	37279.0	37755.0	73894.0	83204.0	75653.0	3461.0	43572.0	36157.0	5778.0	35599.0	86538.0	90171.0	33057.0	35650.0	71939.0	48691.0	45981.0	35422.0	35722.0	38546.0	72132.0	36146.0	12710.0	80932.0	48464.0	0.0	10515.0	29357.0	34324.0	33037.0	9214.0	13701.0	10654.0	50440.0	17493.0
V350181321_113_0	19256.0	75099.0	34368.0	36776.0	9279.0	9409.0	35895.0	37695.0	36773.0	74610.0	82588.0	75048.0	10226.0	43924.0	36502.0	12208.0	36949.0	88590.0	89705.0	33564.0	35857.0	73954.0	49222.0	46148.0	34710.0	35932.0	38889.0	72801.0	36737.0	11381.0	80401.0	48533.0	10515.0	0.0	30181.0	34670.0	34559.0	8586.0	12893.0	10216.0	50566.0	14812.0
V350181321_126_25	27738.0	69094.0	17944.0	22233.0	30588.0	30769.0	22657.0	20512.0	19742.0	68643.0	77055.0	70795.0	29389.0	43167.0	21083.0	30931.0	21290.0	81029.0	83184.0	17354.0	18876.0	67878.0	41950.0	43406.0	18183.0	19103.0	20624.0	66873.0	22046.0	27962.0	73645.0	40860.0	29357.0	30181.0	0.0	125.0	18034.0	28524.0	31681.0	28009.0	45837.0	32363.0
V350181321_132_0	32438.0	73847.0	20250.0	23274.0	32661.0	32662.0	24284.0	23083.0	22973.0	74007.0	83449.0	75445.0	32507.0	46031.0	22256.0	33963.0	24655.0	86044.0	89977.0	19770.0	21662.0	73283.0	44396.0	46299.0	21196.0	21316.0	23465.0	73317.0	24177.0	29670.0	80173.0	43459.0	34324.0	34670.0	125.0	0.0	19716.0	32685.0	34698.0	30957.0	48225.0	37708.0
V350181321_139_33	31880.0	68811.0	11158.0	9771.0	31972.0	32291.0	9770.0	7008.0	12445.0	70601.0	78529.0	70675.0	33217.0	46680.0	7475.0	33911.0	9763.0	82377.0	83773.0	10451.0	5565.0	69668.0	43870.0	46863.0	11028.0	5352.0	8119.0	68140.0	9597.0	29961.0	74441.0	42870.0	33037.0	34559.0	18034.0	19716.0	0.0	31712.0	33887.0	30563.0	48781.0	35903.0
V350181323_162_0	19206.0	72199.0	31695.0	33827.0	9923.0	9997.0	32873.0	34003.0	33342.0	72572.0	80495.0	74205.0	9030.0	41867.0	34301.0	10909.0	33614.0	85774.0	87019.0	30440.0	32076.0	71533.0	48084.0	44446.0	31345.0	32039.0	34446.0	70378.0	32778.0	4785.0	77596.0	47825.0	9214.0	8586.0	28524.0	32685.0	31712.0	0.0	6872.0	4669.0	47804.0	13755.0
V350181323_32_0	21448.0	70594.0	32367.0	35986.0	14420.0	14551.0	36267.0	36395.0	35709.0	69915.0	78286.0	71351.0	12973.0	44997.0	35976.0	14445.0	36826.0	84290.0	85004.0	33187.0	34412.0	69244.0	49157.0	47288.0	33972.0	34396.0	38253.0	68098.0	34261.0	8835.0	74731.0	48719.0	13701.0	12893.0	31681.0	34698.0	33887.0	6872.0	0.0	8914.0	49955.0	18035.0
V350181323_34_8	18119.0	72839.0	29466.0	33117.0	11816.0	12003.0	33226.0	32172.0	32801.0	71071.0	78635.0	73104.0	10730.0	41396.0	32845.0	12211.0	33491.0	84786.0	85346.0	28435.0	30932.0	70770.0	47519.0	43689.0	29722.0	31137.0	33579.0	68363.0	32433.0	7310.0	77056.0	46904.0	10654.0	10216.0	28009.0	30957.0	30563.0	4669.0	8914.0	0.0	46976.0	14177.0
V350181323_49_5	51494.0	82578.0	48760.0	50205.0	52103.0	51836.0	49472.0	50981.0	49801.0	79374.0	88294.0	81939.0	49466.0	38901.0	51207.0	50922.0	49774.0	93895.0	93837.0	47812.0	49804.0	79616.0	56558.0	41346.0	49657.0	49884.0	51702.0	76449.0	51246.0	48250.0	85408.0	55346.0	50440.0	50566.0	45837.0	48225.0	48781.0	47804.0	49955.0	46976.0	0.0	51786.0
V350181323_51.95	13917.0	70320.0	38115.0	38741.0	16544.0	16639.0	37633.0	39151.0	39846.0	68862.0	78241.0	71531.0	16011.0	45258.0	38538.0	16976.0	38730.0	82276.0	86350.0	35097.0	37390.0	68305.0	48984.0	47797.0	37626.0	37714.0	40287.0	67468.0	37156.0	16671.0	76690.0	49173.0	17493.0	14812.0	32363.0	37708.0	35903.0	13755.0	18035.0	14177.0	51786.0	0.0
